No.,Time,Comment,Scramble
120,14.18,,F' B' D R' B' U2 B U' B R U2 L D2 R' F2 R2 B2 R' U2 B2 F'
121,12.06,,R' B2 D L2 U' L2 B L' F U' F2 D' L2 U' R2 U2 F2 U F2 L2 R'
122,11.63,,F2 U2 F2 U B2 F2 U' R2 B2 R2 D2 R' F' R2 U F2 D2 B' F' L
123,11.50,,U L' B2 R' U2 B2 L F2 D2 R U2 F2 B U R2 D' L F' D F' U'
124,11.83,,U2 R2 U B2 D L2 D' L2 U F2 B R' U2 L F2 U R D' U2 B
125,12.78,,D2 B D2 U2 B2 D2 L2 F' U2 B R U F L' D R2 U' B R'
126,11.00,,B2 D B' R2 D2 F2 U F2 R' D2 R2 B' D2 F' R2 F' L2 F L2 B'
127,11.68,,B L2 F U2 L2 B2 D2 F' L2 F2 R' B' R U' L2 R' D R2 U' F'
128,14.56,,B' U' L2 B U2 B2 D2 R' F R L2 D2 F2 R' F2 B2 D2 R B2 U2
129,13.36,,F2 U2 L2 B2 L2 U' R2 F2 D R D2 R2 F' R2 D' R B' D B'
130,14.51,,L' F2 D L2 U2 L2 B2 D B2 U2 F' R B2 R' D F L2 F' U
131,12.33,,R2 B2 D2 F2 L' U2 L' B2 R D L' U L2 B' F' R' D' L' D
132,11.87,,B R' D R' F R' F2 D R' F2 R D2 B2 U2 R' B2 L U2 R2 B'
133,15.21,,F' L U2 L' R2 D2 R2 D2 U2 R' U' B' L' R' F2 D R2 D' U'
134,14.93,,B2 L2 R2 B' L2 B2 F' U2 F U' B' R2 F' U' L2 D2 U2 F
135,12.57,,L2 F2 R2 B2 U2 F' U2 B L2 R2 F2 D F2 L' U2 F D2 B' L D' U'
136,13.65,,B2 R2 U2 L F2 R' D2 U2 F2 L2 R' F R' B2 U' L U2 F L' D' U2
137,12.34,,D2 F2 R2 B2 R2 U2 F D2 F2 D2 L R B L F L D L' U2 R
138,11.64,,D B2 D F2 U B2 L2 D' U L D2 R2 U' F U2 L B R2 B2
139,10.32,,F' U2 L2 D' B L F B2 D' R U2 F2 R' U2 L F2 L' D2 B2 U
140,11.19,,B' U B' U' R' L B L' B' R2 F' B' L2 U2 L2 F' U2 B' L2
141,15.24,,D U2 F2 U2 B' D2 U2 B F2 L2 U2 F' D F2 L B F' D' U' L R'
142,13.19,,F R2 F' L U D2 F R F' U' R2 D L2 D' B2 L2 U R2 D2 B
143,10.40,,R2 D2 L' F2 U2 R2 U2 L2 R' D2 U2 F' D2 B F2 R D' L' B L F'
144,10.47,,F B U' F2 L D' R' L F' R' F2 R' U2 R2 F2 U2 R U2 L F2
145,12.46,,R U' F2 R F' B2 U' B U' L' U' F2 U B2 D' L2 F2 U' R2 B2
146,11.05,,U2 L F2 B2 D' R2 F2 R D L2 B' U2 D2 B D2 F' U2 F R
147,12.61,,D R2 U B' L D' B L B R' D L2 F2 D' F2 B2 R2 D2 B2 U'
148,11.60,,L' B L2 F' U2 F2 L2 U2 F2 L2 F2 L D' L D' F2 D2 U' B2 D'
149,12.87,,L' F' U2 R L F' R' L' B' R B2 U' R2 D' R2 L2 D2 L2 D'
150,13.91,,D2 U B2 U' B2 F2 R2 D B2 F2 U B L F' D' L' R D' B2 R
151,11.88,,U2 B' U L' U R D' R2 L2 F2 B L2 U2 B2 U2 B R2 F' L
152,12.37,,U2 L D2 R U2 B2 L' U2 F2 L R B D R2 B' U' R' B2 R D'
153,12.27,,R2 B' R2 F D2 R2 F2 D2 L2 B L2 D' L R' D2 B L D' F L
154,11.42,,R U2 R D2 R U2 R' F2 U2 R2 D L F' L' F2 D2 F2 R2 F2
155,12.27,,B' U' F L B' R F R F2 U' L' F2 L D2 F2 R F2 D2 L B2
156,11.21,,U2 B D2 F2 B' U2 L2 B2 L U' B2 U' F2 U R2 D B2 L2 B2 U2
157,12.40,,F' D L2 F2 L2 U2 B2 U B2 R2 F2 U R F' U L B2 D2 R2
158,12.53,,F L2 U' R' U' L' U2 L2 D2 B' F2 U2 F2 L2 U L2 D B2 U L2
159,14.81,,D2 R2 U2 F2 R2 F U2 B' L2 D2 F2 L B' R' D U2 L2 U' R2 B D
160,12.73,,U' R B L' F' D F2 R L' U B2 U F2 U2 B2 R2 D R2 U' B2
